Ap   , a  , b  , Var, k       , Ce   , Co
3    , 1  , 1  , HC , 3       , 1    , 1
3    , 1  , 1  , HV , 3       , 0    , 0
4    , 2  , 0  , HC , 2       , -1   , 1
4    , 2  , 0  , HV , 2       , 1    , 0
7    , 2  , 1  , HC , 5       , -1   , 1
7    , 2  , 1  , HV , 5       , 1    , 0
9    , 3  , 0  , HC , 3       , 1    , 1
9    , 3  , 0  , HV , 3       , 0    , 0
12   , 2  , 2  , HC , 6       , 1    , 1
12   , 2  , 2  , HV , 6       , 0    , 0
13   , 3  , 1  , HC , 7       , -1   , -1
13   , 3  , 1  , HV , 7       , 1    , 1
16   , 4  , 0  , HC , 4       , -1   , -1
16   , 4  , 0  , HV , 4       , 1    , 1
19   , 3  , 2  , HC , 9       , -1   , 3
19   , 3  , 2  , HV , 9       , 1    , -1
21   , 4  , 1  , HC , 9       , 1    , 1
21   , 4  , 1  , HV , 9       , 0    , 0
25   , 5  , 0  , HC , 5       , -1   , 1
25   , 5  , 0  , HV , 5       , 1    , 0
27   , 3  , 3  , HC , 9       , 1    , 1
27   , 3  , 3  , HV , 9       , 0    , 0
28   , 4  , 2  , HC , 10      , -1   , -1
28   , 4  , 2  , HV , 10      , 1    , 1
31   , 5  , 1  , HC , 11      , -1   , 1
31   , 5  , 1  , HV , 11      , 1    , 0
36   , 6  , 0  , HC , 6       , 1    , 1
36   , 6  , 0  , HV , 6       , 0    , 0
37   , 4  , 3  , HC , 13      , -1   , 5
37   , 4  , 3  , HV , 13      , 1    , -2
39   , 5  , 2  , HC , 15      , 1    , 1
39   , 5  , 2  , HV , 12      , 0    , 0
43   , 6  , 1  , HC , 13      , -1   , -1
43   , 6  , 1  , HV , 13      , 1    , 1
48   , 4  , 4  , HC , 12      , 1    , 1
48   , 4  , 4  , HV , 12      , 0    , 0
49   , 5  , 3  , HC , 15      , -1   , -3
49   , 5  , 3  , HV , 15      , 1    , 2
49   , 7  , 0  , HC , 7       , -1   , -1
49   , 7  , 0  , HV , 7       , 1    , 1
52   , 6  , 2  , HC , 14      , -1   , 1
52   , 6  , 2  , HV , 14      , 1    , 0
57   , 7  , 1  , HC , 15      , 1    , 1
57   , 7  , 1  , HV , 15      , 0    , 0
61   , 5  , 4  , HC , 17      , -1   , 7
61   , 5  , 4  , HV , 17      , 1    , -3
63   , 6  , 3  , HC , 15      , 1    , 1
63   , 6  , 3  , HV , 15      , 0    , 0
64   , 8  , 0  , HC , 8       , -1   , 1
64   , 8  , 0  , HV , 8       , 1    , 0
67   , 7  , 2  , HC , 17      , -1   , 1
67   , 7  , 2  , HV , 17      , 1    , 0
73   , 8  , 1  , HC , 17      , -1   , 1
73   , 8  , 1  , HV , 17      , 1    , 0
75   , 5  , 5  , HC , 15      , 1    , 1
75   , 5  , 5  , HV , 15      , 0    , 0
76   , 6  , 4  , HC , 18      , -1   , -3
76   , 6  , 4  , HV , 18      , 1    , 2
79   , 7  , 3  , HC , 19      , -1   , -1
79   , 7  , 3  , HV , 19      , 1    , 1
81   , 9  , 0  , HC , 9       , 1    , 1
81   , 9  , 0  , HV , 9       , 0    , 0
84   , 8  , 2  , HC , 18      , 1    , 1
84   , 8  , 2  , HV , 18      , 0    , 0
91   , 6  , 5  , HC , 21      , -1   , 9
91   , 6  , 5  , HV , 21      , 1    , -4
91   , 9  , 1  , HC , 19      , -1   , -1
91   , 9  , 1  , HV , 19      , 1    , 1
93   , 7  , 4  , HC , 21      , 1    , 1
93   , 7  , 4  , HV , 21      , 0    , 0
97   , 8  , 3  , HC , 21      , -1   , -3
97   , 8  , 3  , HV , 21      , 1    , 2
100  , 10 , 0  , HC , 10      , -1   , -1
100  , 10 , 0  , HV , 10      , 1    , 1
103  , 9  , 2  , HC , 21      , -1   , 3
103  , 9  , 2  , HV , 21      , 1    , -1
108  , 6  , 6  , HC , 18      , 1    , 1
108  , 6  , 6  , HV , 18      , 0    , 0
109  , 7  , 5  , HC , 23      , -1   , -5
109  , 7  , 5  , HV , 23      , 1    , 3
111  , 10 , 1  , HC , 21      , 1    , 1
111  , 10 , 1  , HV , 21      , 0    , 0
112  , 8  , 4  , HC , 20      , -1   , 1
112  , 8  , 4  , HV , 20      , 1    , 0
117  , 9  , 3  , HC , 21      , 1    , 1
117  , 9  , 3  , HV , 21      , 0    , 0
121  , 11 , 0  , HC , 11      , -1   , 1
121  , 11 , 0  , HV , 11      , 1    , 0
124  , 10 , 2  , HC , 22      , -1   , -1
124  , 10 , 2  , HV , 22      , 1    , 1
127  , 7  , 6  , HC , 25      , -1   , 11
127  , 7  , 6  , HV , 25      , 1    , -5
129  , 8  , 5  , HC , 27      , 1    , 1
129  , 8  , 5  , HV , 24      , 0    , 0
133  , 9  , 4  , HC , 25      , -1   , -1
133  , 9  , 4  , HV , 25      , 1    , 1
133  , 11 , 1  , HC , 23      , -1   , 1
133  , 11 , 1  , HV , 23      , 1    , 0
139  , 10 , 3  , HC , 25      , -1   , -1
139  , 10 , 3  , HV , 25      , 1    , 1
144  , 12 , 0  , HC , 12      , 1    , 1
144  , 12 , 0  , HV , 12      , 0    , 0
147  , 7  , 7  , HC , 21      , 1    , 1
147  , 7  , 7  , HV , 21      , 0    , 0
147  , 11 , 2  , HC , 27      , 1    , 1
147  , 11 , 2  , HV , 24      , 0    , 0
148  , 8  , 6  , HC , 26      , -1   , -5
148  , 8  , 6  , HV , 26      , 1    , 3
151  , 9  , 5  , HC , 27      , -1   , 3
151  , 9  , 5  , HV , 27      , 1    , -1
156  , 10 , 4  , HC , 30      , 1    , 1
156  , 10 , 4  , HV , 24      , 0    , 0
157  , 12 , 1  , HC , 25      , -1   , -1
157  , 12 , 1  , HV , 25      , 1    , 1
163  , 11 , 3  , HC , 27      , -1   , 3
163  , 11 , 3  , HV , 27      , 1    , -1
169  , 8  , 7  , HC , 29      , -1   , 13
169  , 8  , 7  , HV , 29      , 1    , -6
169  , 13 , 0  , HC , 13      , -1   , -1
169  , 13 , 0  , HV , 13      , 1    , 1
171  , 9  , 6  , HC , 27      , 1    , 1
171  , 9  , 6  , HV , 27      , 0    , 0
172  , 12 , 2  , HC , 26      , -1   , 1
172  , 12 , 2  , HV , 26      , 1    , 0
175  , 10 , 5  , HC , 25      , -1   , -1
175  , 10 , 5  , HV , 25      , 1    , 1
181  , 11 , 4  , HC , 29      , -1   , 1
181  , 11 , 4  , HV , 29      , 1    , 0
183  , 13 , 1  , HC , 27      , 1    , 1
183  , 13 , 1  , HV , 27      , 0    , 0
189  , 12 , 3  , HC , 27      , 1    , 1
189  , 12 , 3  , HV , 27      , 0    , 0
192  , 8  , 8  , HC , 24      , 1    , 1
192  , 8  , 8  , HV , 24      , 0    , 0
