radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,"452","4","20393","50377","0","106.6843","10.7923","500","26","1","1364834953","1744808342","0"
GSM,"452","4","11207","60031","0","105.8421","20.9651","1000","10","1","1389704589","1701265515","0"
GSM,"452","4","11207","9223","0","105.842","20.9632","1000","10","1","1389704649","1701265515","0"
GSM,"452","4","20392","15071","0","106.6718","10.7997","500","50","1","1418212106","1744808342","0"
GSM,"452","4","20392","11466","0","106.6729","10.7994","607","48","1","1418212116","1744808342","0"
GSM,"452","4","20373","43031","0","106.6288","10.8062","1194","40","1","1418310282","1738231867","0"
GSM,"452","4","20392","44341","0","106.6767","10.795","1000","18","1","1418341900","1744808342","0"
GSM,"452","4","20475","45101","0","106.6167","10.8012","800","29","1","1418345684","1738231867","0"
GSM,"452","4","20373","8783","0","106.6214","10.7963","541","33","1","1418346045","1738231868","0"
GSM,"452","4","20373","8782","0","106.6228","10.7942","1000","18","1","1418346094","1738231868","0"
GSM,"452","4","20392","13921","0","106.6756","10.7956","642","46","1","1418352117","1744808342","0"
GSM,"452","4","20371","45551","0","106.6219","10.7941","882","38","1","1418382539","1738231868","0"
GSM,"452","4","20507","13139","0","106.6998","10.7595","500","50","1","1418452130","1744431901","0"
GSM,"452","4","20393","14488","0","106.6867","10.795","670","50","1","1418479344","1744808342","0"
GSM,"452","4","20521","6954","0","106.6918","10.7831","1000","16","1","1418522235","1744808341","0"
GSM,"452","4","20373","9736","0","106.6202","10.8049","1000","13","1","1418561893","1738231867","0"
GSM,"452","4","20392","15072","0","106.672","10.7985","1000","15","1","1418686985","1744808342","0"
GSM,"452","4","20521","41812","0","106.6936","10.7656","1000","15","1","1418688046","1744285202","0"
GSM,"452","4","20353","55958","0","106.7449","10.8426","2165","22","1","1418690386","1738381150","0"
GSM,"452","4","20356","26410","0","106.7589","10.8316","664","31","1","1418799471","1738381149","0"
GSM,"452","4","20506","6351","0","106.707","10.7705","1000","22","1","1418911672","1744645142","0"
GSM,"452","4","20506","12968","0","106.7038","10.7735","1000","19","1","1418911885","1744645142","0"
GSM,"452","4","20521","6955","0","106.6934","10.7805","500","50","1","1418946536","1735808514","0"
GSM,"452","4","20506","8691","0","106.6965","10.7645","728","40","1","1418946586","1744285202","0"
GSM,"452","4","20392","44991","0","106.6739","10.7967","500","40","1","1418956489","1744808342","0"
GSM,"452","4","20521","44664","0","106.6975","10.7775","649","26","1","1419000108","1744645502","0"
GSM,"452","4","20392","6164","0","106.6719","10.7973","500","26","1","1419036622","1744808342","0"
GSM,"452","4","20521","11456","0","106.689","10.7823","1000","22","1","1419086036","1744808341","0"
GSM,"452","4","20393","8896","0","106.6758","10.7966","1000","20","1","1419123629","1744808342","0"
GSM,"452","4","20392","6006","0","106.6781","10.793","500","30","1","1419136482","1744808342","0"
GSM,"452","4","20392","6004","0","106.6798","10.7924","500","39","1","1419136507","1744808342","0"
GSM,"452","4","20506","17037","0","106.7186","10.7726","920","44","1","1419159964","1735808511","0"
GSM,"452","4","20506","13288","0","106.6988","10.7727","500","39","1","1419160253","1744645502","0"
GSM,"452","4","20521","41692","0","106.6996","10.7811","673","25","1","1419306556","1735808514","0"
GSM,"452","4","20356","9681","0","106.7622","10.833","1120","41","1","1419403268","1738381149","0"
GSM,"452","4","20477","42273","0","106.6254","10.8154","1000","20","1","1419678082","1738231866","0"
GSM,"452","4","20506","10874","0","106.6948","10.7622","1000","20","1","1419897116","1744285202","0"
GSM,"452","4","20477","9725","0","106.6239","10.8125","1000","21","1","1419936965","1738231867","0"
GSM,"452","4","20506","48523","0","106.703","10.7628","500","29","1","1420077993","1744382221","0"
GSM,"452","4","20475","9152","0","106.6135","10.8091","830","34","1","1420116653","1738231867","0"
GSM,"452","4","20506","7084","0","106.7007","10.7751","1000","8","1","1420118553","1744645502","0"
GSM,"452","4","20521","43264","0","106.6914","10.7774","550","50","1","1420272661","1744808341","0"
GSM,"452","4","20373","9735","0","106.6233","10.8029","1055","24","1","1420284773","1738231867","0"
GSM,"452","4","20506","48521","0","106.7071","10.7649","1396","23","1","1420287896","1744382221","0"
GSM,"452","4","20507","22040","0","106.7051","10.7642","1000","4","1","1420288765","1744382221","0"
GSM,"452","4","20506","6786","0","106.6921","10.7584","758","50","1","1420293056","1744285202","0"
GSM,"452","4","20392","47724","0","106.6746","10.7961","500","28","1","1420599603","1744808342","0"
GSM,"452","4","20392","11465","0","106.6751","10.7983","500","39","1","1421140478","1744808342","0"
GSM,"452","4","11563","2972","0","105.8053","21.0075","1000","31","1","1421834141","1701265504","0"
GSM,"452","4","20522","13267","0","106.683","10.7542","1749","11","1","1422184945","1744285202","0"
GSM,"452","4","20475","44769","0","106.6201","10.8053","1000","12","1","1422702570","1738231867","0"
GSM,"452","4","20475","53587","0","106.6258","10.8081","4002","17","1","1422711573","1738231867","0"
GSM,"452","4","20477","10700","0","106.6204","10.8105","1000","13","1","1422766468","1738231867","0"
GSM,"452","4","20507","48881","0","106.735","10.7612","3067","11","1","1424608391","1735808509","0"
GSM,"452","4","20477","9724","0","106.6329","10.8166","3154","36","1","1425646744","1738231866","0"
GSM,"452","4","11228","14643","0","105.8033","20.9907","51350","21","1","1427768445","1701265504","0"
GSM,"452","4","20506","19062","0","106.7137","10.774","1934","28","1","1429966841","1744645501","0"
GSM,"452","4","11228","10661","0","105.8052","20.9914","1000","12","1","1439736648","1701265504","0"
GSM,"452","4","11228","62114","0","105.8033","20.9915","500","130","1","1439736648","1701265504","0"
GSM,"452","4","11228","10663","0","105.803","20.9905","2133","11","1","1444412148","1701265504","0"
GSM,"452","4","20371","29501","0","106.6223","10.7914","1000","9","1","1458569627","1738231868","0"
GSM,"452","4","20356","43323","0","106.7599","10.8247","3836","25","1","1458569625","1738381149","0"
GSM,"452","4","20392","64717","0","106.6733","10.797","1064","24","1","1458569631","1744808342","0"
GSM,"452","4","20453","48662","0","106.7641","10.8023","1989","32","1","1458569638","1738381147","0"
GSM,"452","4","20506","12969","0","106.702","10.7735","1000","7","1","1458569643","1744645502","0"
GSM,"452","4","20506","14147","0","106.7026","10.7722","1000","16","1","1458569643","1744645502","0"
GSM,"452","4","20453","48661","0","106.7619","10.8189","1000","12","1","1458569638","1738381148","0"
GSM,"452","4","20506","12967","0","106.7039","10.7739","1000","17","1","1458569643","1744645142","0"
GSM,"452","4","20507","48274","0","106.7109","10.7673","1306","21","1","1458569644","1744382221","0"
GSM,"452","4","20453","48663","0","106.7595","10.8223","1000","18","1","1422596613","1738381148","0"
GSM,"452","4","20521","49440","0","106.6958","10.7821","1000","22","1","1458569648","1735808514","0"
GSM,"452","4","20616","65302","0","106.7419","10.9297","2166","50","1","1458569651","1738381204","0"
GSM,"452","4","20616","54013","0","106.7305","10.9541","1000","11","1","1458569651","1738381205","0"
GSM,"452","1","20090","32621","0","106.8097","10.7847","1000","22","1","1458575910","1748030762","0"
GSM,"452","1","20090","32181","0","106.7939","10.7931","1000","21","1","1458575910","1747669861","0"
GSM,"452","1","20090","32423","0","106.7932","10.7886","1841","50","1","1454810770","1747671781","0"
UMTS,"452","4","41045","119030152","5","105.8491","21.0107","1000","6","1","1458602155","1701265519","0"
GSM,"452","4","11113","4506","0","105.8539","21.024","1000","20","1","1459387699","1701265518","0"
GSM,"452","4","11207","9192","0","105.8399","20.9686","1018","2","1","1460320675","1701265513","0"
GSM,"452","2","241","41222","0","106.701","10.7676","1000","20","1","1458908033","1732943703","0"
GSM,"452","2","241","41233","0","106.7049","10.7697","810","48","1","1458908033","1732943703","0"
GSM,"452","2","241","41213","0","106.7016","10.7745","1000","21","1","1458908033","1744645501","0"
GSM,"452","2","241","41373","0","106.6999","10.7653","842","50","1","1458908033","1732943703","0"
GSM,"452","2","241","41372","0","106.7014","10.7656","1341","23","1","1458908033","1739267342","0"
GSM,"452","2","254","54143","0","106.7065","10.7696","1006","28","1","1458908043","1739443743","0"
GSM,"452","2","254","54121","0","106.7453","10.7937","1000","6","1","1458908043","1739271721","0"
GSM,"452","2","254","54442","0","106.7268","10.7774","7131","30","1","1458908043","1735218663","0"
GSM,"452","2","254","54443","0","106.7271","10.7765","1574","28","1","1458908043","1735218663","0"
GSM,"452","4","11113","4504","0","105.8567","21.025","1000","12","1","1458908068","1701265517","0"
GSM,"452","4","11207","5743","0","105.8317","20.9668","1085","43","1","1458028872","1701265514","0"
GSM,"452","4","11205","60462","0","105.8522","21.0195","3517","16","1","1458908069","1701265518","0"
GSM,"452","4","11207","60033","0","105.8337","20.9673","1152","57","1","1458028872","1701265515","0"
GSM,"452","4","11207","60594","0","105.8329","20.9643","1055","89","1","1458908070","1701687741","0"
GSM,"452","4","11207","60596","0","105.8316","20.9645","1155","125","1","1458156671","1701265514","0"
GSM,"452","4","11207","6722","0","105.8323","20.9709","2659","11","1","1458908070","1701265509","0"
